#date,rate
2010-01-04,0.996
2010-01-05,0.995
2010-01-06,0.992
2010-01-07,0.989
2010-01-08,0.986
2010-01-11,0.985
2010-01-12,0.983
2010-01-13,0.981
2010-01-14,0.981
2010-01-15,0.977
2010-01-18,0.975
2010-01-19,0.974
2010-01-20,0.972
2010-01-21,0.968
2010-01-22,0.966
2010-01-25,0.965
2010-01-26,0.964
2010-01-27,0.964
2010-01-28,0.966
2010-01-29,0.966
2010-02-01,0.966
2010-02-02,0.967
2010-02-03,0.967
2010-02-04,0.967
2010-02-05,0.965
2010-02-08,0.965
2010-02-09,0.966
2010-02-10,0.966
2010-02-11,0.966
2010-02-12,0.967
2010-02-15,0.963
2010-02-16,0.964
2010-02-17,0.965
2010-02-18,0.963
2010-02-19,0.965
2010-02-22,0.965
2010-02-23,0.964
2010-02-24,0.963
2010-02-25,0.959
2010-02-26,0.958
2010-03-01,0.959
2010-03-02,0.958
2010-03-03,0.957
2010-03-04,0.957
2010-03-05,0.956
2010-03-08,0.957
2010-03-09,0.956
2010-03-10,0.956
2010-03-11,0.957
2010-03-12,0.958
2010-03-15,0.956
2010-03-16,0.955
2010-03-17,0.951
2010-03-18,0.951
2010-03-19,0.951
2010-03-22,0.95
2010-03-23,0.948
2010-03-24,0.947
2010-03-25,0.946
2010-03-26,0.947
2010-03-29,0.945
2010-03-30,0.944
2010-03-31,0.944
2010-04-01,0.945
2010-04-06,0.949
2010-04-07,0.95
2010-04-08,0.952
2010-04-09,0.952
2010-04-12,0.953
2010-04-13,0.953
2010-04-14,0.954
2010-04-15,0.954
2010-04-16,0.954
2010-04-19,0.953
2010-04-20,0.953
2010-04-21,0.954
2010-04-22,0.955
2010-04-23,0.957
2010-04-26,0.959
2010-04-27,0.958
2010-04-28,0.964
2010-04-29,0.967
2010-04-30,0.968
2010-05-03,0.971
2010-05-04,0.974
2010-05-05,0.976
2010-05-06,0.978
2010-05-07,0.984
2010-05-10,0.981
2010-05-11,0.979
2010-05-12,0.978
2010-05-13,0.976
2010-05-14,0.979
2010-05-17,0.981
2010-05-18,0.982
2010-05-19,0.984
2010-05-20,0.986
2010-05-21,0.987
2010-05-24,0.987
2010-05-25,0.99
2010-05-26,0.989
2010-05-27,0.988
2010-05-28,0.988
2010-05-31,0.989
2010-06-01,0.991
2010-06-02,0.994
2010-06-03,0.996
2010-06-04,0.997
2010-06-07,0.998
2010-06-08,0.999
2010-06-09,0.999
2010-06-10,1.001
2010-06-11,1.003
2010-06-14,1.005
2010-06-15,1.006
2010-06-16,1.008
2010-06-17,1.011
2010-06-18,1.015
2010-06-21,1.019
2010-06-22,1.021
2010-06-23,1.024
2010-06-24,1.027
2010-06-25,1.03
2010-06-28,1.035
2010-06-29,1.039
2010-06-30,1.041
2010-07-01,1.056
2010-07-02,1.06
2010-07-05,1.06
2010-07-06,1.061
2010-07-07,1.065
2010-07-08,1.07
2010-07-09,1.081
2010-07-12,1.086
2010-07-13,1.09
2010-07-14,1.095
2010-07-15,1.101
2010-07-16,1.114
2010-07-19,1.122
2010-07-20,1.127
2010-07-21,1.13
2010-07-22,1.131
2010-07-23,1.133
2010-07-26,1.137
2010-07-27,1.141
2010-07-28,1.143
2010-07-29,1.145
2010-07-30,1.145
2010-08-02,1.145
2010-08-03,1.146
2010-08-04,1.149
2010-08-05,1.152
2010-08-06,1.154
2010-08-09,1.155
2010-08-10,1.156
2010-08-11,1.158
2010-08-12,1.154
2010-08-13,1.153
2010-08-16,1.15
2010-08-17,1.149
2010-08-18,1.149
2010-08-19,1.148
2010-08-20,1.145
2010-08-23,1.143
2010-08-24,1.141
2010-08-25,1.139
2010-08-26,1.139
2010-08-27,1.139
2010-08-30,1.137
2010-08-31,1.137
2010-09-01,1.134
2010-09-02,1.134
2010-09-03,1.134
2010-09-06,1.133
2010-09-07,1.133
2010-09-08,1.134
2010-09-09,1.134
2010-09-10,1.135
2010-09-13,1.138
2010-09-14,1.137
2010-09-15,1.139
2010-09-16,1.139
2010-09-17,1.141
2010-09-20,1.139
2010-09-21,1.139
2010-09-22,1.138
2010-09-23,1.136
2010-09-24,1.137
2010-09-27,1.138
2010-09-28,1.141
2010-09-29,1.141
2010-09-30,1.146
2010-10-01,1.184
2010-10-04,1.191
2010-10-05,1.191
2010-10-06,1.190
2010-10-07,1.197
2010-10-08,1.201
2010-10-11,1.204
2010-10-12,1.206
2010-10-13,1.209
2010-10-14,1.211
2010-10-15,1.216
2010-10-18,1.223
2010-10-19,1.231
2010-10-20,1.239
2010-10-21,1.246
2010-10-22,1.250
2010-10-25,1.253
2010-10-26,1.259
2010-10-27,1.265
2010-10-28,1.267
2010-10-29,1.269
2010-11-01,1.269
2010-11-02,1.270
2010-11-03,1.272
2010-11-04,1.274
2010-11-05,1.273
2010-11-08,1.274
2010-11-09,1.274
2010-11-10,1.274
2010-11-11,1.275
2010-11-12,1.276
2010-11-15,1.276
